Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2011-03-05	ICC Cricket World Cup--1790	male	no result			50	Sri Lanka	Australia	Sri Lanka	bat	R Premadasa Stadium	1790.0
2011-03-06	ICC Cricket World Cup--1791	male	India		5.0	50	India	Ireland	India	field	M Chinnaswamy Stadium	1791.0
2011-03-06	ICC Cricket World Cup--1792	male	England	6.0		50	England	South Africa	England	bat	MA Chidambaram Stadium, Chepauk	1792.0
2011-03-07	ICC Cricket World Cup--1793	male	Canada		5.0	50	Canada	Kenya	Kenya	bat	Feroz Shah Kotla	1793.0
2011-03-08	ICC Cricket World Cup--1794	male	New Zealand	110.0		50	New Zealand	Pakistan	New Zealand	bat	Pallekele International Cricket Stadium	1794.0
2011-03-09	ICC Cricket World Cup--1795	male	India		5.0	50	India	Netherlands	Netherlands	bat	Feroz Shah Kotla	1795.0
2011-03-10	ICC Cricket World Cup--1796	male	Sri Lanka	139.0		50	Sri Lanka	Zimbabwe	Zimbabwe	field	Pallekele International Cricket Stadium	1796.0
2011-03-11	ICC Cricket World Cup--1797	male	West Indies	44.0		50	Ireland	West Indies	Ireland	field	Punjab Cricket Association Stadium, Mohali	1797.0
2011-03-11	ICC Cricket World Cup--1798	male	Bangladesh		2.0	50	Bangladesh	England	Bangladesh	field	Zahur Ahmed Chowdhury Stadium	1798.0
2011-03-12	ICC Cricket World Cup--1799	male	South Africa		3.0	50	India	South Africa	India	bat	Vidarbha Cricket Association Stadium, Jamtha	1799.0
2011-03-13	ICC Cricket World Cup--1800	male	New Zealand	97.0		50	Canada	New Zealand	Canada	field	Wankhede Stadium	1800.0
2011-03-13	ICC Cricket World Cup--1801	male	Australia	60.0		50	Australia	Kenya	Australia	bat	M Chinnaswamy Stadium	1801.0
2011-03-14	ICC Cricket World Cup--1802	male	Pakistan		7.0	50	Pakistan	Zimbabwe	Zimbabwe	bat	Pallekele International Cricket Stadium	1802.0
2011-03-14	ICC Cricket World Cup--1803	male	Bangladesh		6.0	50	Bangladesh	Netherlands	Netherlands	bat	Zahur Ahmed Chowdhury Stadium	1803.0
2011-03-15	ICC Cricket World Cup--1804	male	South Africa	131.0		50	Ireland	South Africa	Ireland	field	Eden Gardens	1804.0
2011-03-16	ICC Cricket World Cup--1805	male	Australia		7.0	50	Australia	Canada	Canada	bat	M Chinnaswamy Stadium	1805.0
2011-03-17	ICC Cricket World Cup--1806	male	England	18.0		50	England	West Indies	England	bat	MA Chidambaram Stadium, Chepauk	1806.0
2011-03-18	ICC Cricket World Cup--1807	male	Sri Lanka	112.0		50	New Zealand	Sri Lanka	Sri Lanka	bat	Wankhede Stadium	1807.0
2011-03-18	ICC Cricket World Cup--1808	male	Ireland		6.0	50	Ireland	Netherlands	Ireland	field	Eden Gardens	1808.0
2011-03-19	ICC Cricket World Cup--1809	male	Pakistan		4.0	50	Australia	Pakistan	Australia	bat	R Premadasa Stadium	1809.0
2011-03-19	ICC Cricket World Cup--1810	male	South Africa	206.0		50	Bangladesh	South Africa	South Africa	bat	Shere Bangla National Stadium	1810.0
2011-03-20	ICC Cricket World Cup--1811	male	Zimbabwe	161.0		50	Kenya	Zimbabwe	Zimbabwe	bat	Eden Gardens	1811.0
2011-03-20	ICC Cricket World Cup--1812	male	India	80.0		50	India	West Indies	India	bat	MA Chidambaram Stadium, Chepauk	1812.0
2011-03-23	ICC Cricket World Cup--1813	male	Pakistan		10.0	50	Pakistan	West Indies	West Indies	bat	Shere Bangla National Stadium	1813.0
2011-03-24	ICC Cricket World Cup--1814	male	India		5.0	50	India	Australia	Australia	bat	Sardar Patel Stadium, Motera	1814.0
2011-03-25	ICC Cricket World Cup--1815	male	New Zealand	49.0		50	New Zealand	South Africa	New Zealand	bat	Shere Bangla National Stadium	1815.0
2011-03-26	ICC Cricket World Cup--1816	male	Sri Lanka		10.0	50	Sri Lanka	England	England	bat	R Premadasa Stadium	1816.0
2011-03-29	ICC Cricket World Cup--1817	male	Sri Lanka		5.0	50	Sri Lanka	New Zealand	New Zealand	bat	R Premadasa Stadium	1817.0
2011-03-30	ICC Cricket World Cup--1818	male	India	29.0		50	India	Pakistan	India	bat	Punjab Cricket Association Stadium, Mohali	1818.0
2011-04-02	ICC Cricket World Cup--1819	male	India		6.0	50	India	Sri Lanka	Sri Lanka	bat	Wankhede Stadium	1819.0
2010-01-04	Tri-Nation Tournament in Bangladesh--1820	male	Sri Lanka		7.0	50	Bangladesh	Sri Lanka	Sri Lanka	field	Shere Bangla National Stadium	1820.0
2010-01-05	Tri-Nation Tournament in Bangladesh--1821	male	Sri Lanka		5.0	50	India	Sri Lanka	Sri Lanka	field	Shere Bangla National Stadium	1821.0
2010-01-07	Tri-Nation Tournament in Bangladesh--1822	male	India		6.0	50	Bangladesh	India	Bangladesh	bat	Shere Bangla National Stadium	1822.0
2010-01-08	Tri-Nation Tournament in Bangladesh--1823	male	Sri Lanka		9.0	50	Bangladesh	Sri Lanka	Sri Lanka	field	Shere Bangla National Stadium	1823.0
2010-01-10	Tri-Nation Tournament in Bangladesh--1824	male	India		8.0	50	India	Sri Lanka	Sri Lanka	bat	Shere Bangla National Stadium	1824.0
2010-01-11	Tri-Nation Tournament in Bangladesh--1825	male	India		6.0	50	Bangladesh	India	India	field	Shere Bangla National Stadium	1825.0
2010-01-13	Tri-Nation Tournament in Bangladesh--1826	male	Sri Lanka		4.0	50	India	Sri Lanka	Sri Lanka	field	Shere Bangla National Stadium	1826.0
